/,1,2,3
0 serial,19.53,19.62,20.17
1 parallel for,16.81,15.79,15.35
1 serial,16.11,16.05,15.45
2 parallel task,17.07,13.75,14.00
2 serial,16.81,14.52,15.83
3 parallel sections,9.56,8.16,9.44
3 serial,11.55,13.67,14.38
4 parallel sections splittedsort,9.42,9.34,12.05
4 serial,15.60,13.50,12.96
5 parallel doublesign,12.73,11.99,10.65
5 serial,17.96,16.78,16.09
6 parallel radixsort,11.23,10.78,11.26
6 serial,19.42,17.84,16.62
