/,1,2,3
0 serial,41.01,38.81,39.23
1 parallel for,34.95,38.18,31.22
1 serial,49.82,34.46,40.41
2 parallel task,38.45,35.62,41.00
2 serial,43.86,49.81,46.65
3 parallel sections,10.24,10.87,11.27
3 serial,23.96,21.92,22.98
4 parallel sections splittedsort,10.56,11.00,10.65
4 serial,20.76,20.57,21.18
5 parallel doublesign,10.41,10.44,10.48
5 serial,21.83,17.35,20.33
6 parallel radixsort,32.74,30.27,30.44
6 serial,71.61,67.48,69.66
